MLB,AAA,AA,A+,A,CPX,DSL1,DSL2,MLB_abbr
Arizona Diamondbacks,Reno Aces,Amarillo Sod Poodles,Hillsboro Hops,Visalia Rawhide,ACL D-backs,DSL Arizona Red,DSL Arizona Black,ARI
Athletics,Las Vegas Aviators,Midland RockHounds,Lansing Lugnuts, Stockton Ports,ACL Athletics,DSL Athletics,,ATH
Atlanta Braves,Gwinnett Stripers,Columbus Clingstones,Rome Emperors,Augusta GreenJackets,"FCL Braves	",DSL Braves,,ATL
Baltimore Orioles,Norfolk Tides,Chesapeake Baysox,Aberdeen IronBirds,Delmarva Shorebirds,FCL Orioles,DSL Orioles Orange,DSL Orioles Black,BAL
Boston Red Sox,Worcester Red Sox,Portland Sea Dogs,Greenville Drive,Salem Red Sox,"FCL Red Sox	",DSL Red Sox Blue,DSL Red Sox Red,BOS
Chicage White Sox,Charlotte Knights,Birmingham Barons,Winston-Salem Dash,Kannapolis Cannon Ballers,ACL White Sox,DSL White Sox,,CHW
Chicago Cubs,Iowa Cubs,Knoxville Smokies,South Bend Cubs,Myrtle Beach Pelicans,ACL Cubs,DSL Cubs Blue,DSL Cubs Red,CHC
Cincinnati Reds,Louisville Bats,Chattanooga Lookouts,Dayton Dragons,Daytona Tortugas,"ACL Reds	",DSL Rojos,DSL Reds,CIN
Cleveland Guardians,Columbus Clippers,Akron RubberDucks,Lake County Captains,Lynchburg Hillcats,ACL Guardians,DSL Guardians Goryl,DSL Guardians Mendoza,CLE
Colorado Rockies,Albuquerque Isotopes,Hartford Yard Goats,Spokane Indians,Fresno Grizzlies,ACL Rockies,DSL Rockies,DSL Colorado,COL
Detroit Tigers,Toledo Mud Hens,Erie SeaWolves,West Michigan Whitecaps,Lakeland Flying Tigers,FCL Tigers,DSL Tigers 2,DSL Tigers 1,DET
Houston Astros,Sugar Land Space Cowboys,Corpus Christi Hooks,Asheville Tourists,Fayetteville Woodpeckers,FCL Astros,DSL Astros Orange,DSL Astros Blue,HOU
Kansas City Royals,Omaha Storm Chasers,Northwest Arkansas Naturals,Quad Cities River Bandits,Columbia Fireflies,ACL Royals,DSL Royals Fortuna,DSL Royals Ventura,KCR
Los Angeles Angels,Salt Lake Bees,Rocket City Trash Pandas,Tri-City Dust Devils,Inland Empire 66ers,ACL Angels,DSL Angels,,LAA
Los Angeles Dodgers,Oklahoma City Comets,Tulsa Drillers,Great Lakes Loons,Rancho Cucamonga Quakes,ACL Dodgers,DSL Dodgers Bautista,DSL Dodgers Mega,LAD
Miami Marlins,Jacksonville Jumbo Shrimp,Pensacola Blue Wahoos,Beloit Sky Carp,Jupiter Hammerheads,FCL Marlins,DSL Miami,DSL Marlins,MIA
Milwaukee Brewers,Nashville Sounds,Biloxi Shuckers,Wisconsin Timber Rattlers,Carolina Mudcats,ACL Brewers,DSL Brewers Gold,DSL Brewers Blue,MIL
Minnesota Twins,St. Paul Saints,Wichita Wind Surge,Cedar Rapids Kernels,Fort Myers Mighty Mussels,FCL Twins,DSL Twins,,MIN
New York Mets,Syracuse Mets,Binghamton Rumble Ponies,Brooklyn Cyclones,St. Lucie Mets,FCL Mets,DSL Mets Orange,DSL Mets Blue,NYM
New York Yankees,Scranton/Wilkes-Barre RailRiders,Somerset Patriots,Hudson Valley Renegades,Tampa Tarpons,FCL Yankees,DSL NYY Yankees,DSL NYY Bombers,NYY
Philadelphia Phillies,Lehigh Valley IronPigs,Reading Fightin Phils,Jersey Shore BlueClaws,Clearwater Threshers,"FCL Phillies	",DSL Phillies White,DSL Phillies Red,PHI
Pittsburgh Pirates,Indianapolis Indians,Altoona Curve,Greensboro Grasshoppers,Bradenton Marauders,FCL Pirates,DSL Pirates Gold,DSL Pirates Black,PIT
San Diego Padres,El Paso Chihuahuas,San Antonio Missions,Fort Wayne TinCaps,Lake Elsinore Storm,ACL Padres,DSL Padres Gold,DSL Padres Brown,SDP
San Francisco Giants,Sacramento River Cats,Richmond Flying Squirrels,Eugene Emeralds,San Jose Giants,ACL Giants,DSL Giants Black,DSL Giants Orange,SFG
Seattle Mariners,Tacoma Rainiers,Arkansas Travelers,Everett AquaSox,Modesto Nuts,ACL Mariners,DSL Mariners,,SEA
St. Louis Cardinals,Memphis Redbirds,Springfield Cardinals,Peoria Chiefs,Palm Beach Cardinals,FCL Cardinals,DSL Cardinals,,STL
Tampa Bay Rays,Durham Bulls,Montgomery Biscuits,Bowling Green Hot Rods,Charleston RiverDogs,FCL Rays,DSL Rays,DSL Tampa Bay,TBR
Texas Rangers,Round Rock Express,Frisco RoughRiders,Hub City Spartanburgers,Hickory Crawdads,ACL Rangers,DSL Rangers Red,DSL Rangers Blue,TEX
Toronto Blue Jays,Buffalo Bisons,New Hampshire Fisher Cats,Vancouver Canadians,Dunedin Blue Jays,FCL Blue Jays,DSL Blue Jays Red,DSL Blue Jays Blue,TOR
Washington Nationals,Rochester Red Wings,Harrisburg Senators,Wilmington Blue Rocks,Fredericksburg Nationals,FCL Nationals,DSL Nationals,,WSN
