id,full_name,link,first_name,last_name,birth_date,current_age,birth_city,birth_country,height,weight,active,use_name,use_last_name,middle_name,boxscore_name,gender,is_player,is_verified,name_first_last,name_slug,first_last_name,last_first_name,last_init_name,init_last_name,full_fml_name,full_lfm_name,strike_zone_top,strike_zone_bottom,primary_number,pronunciation,mlb_debut_date,primary_position_code,primary_position_name,primary_position_type,primary_position_abbreviation,bat_side_code,bat_side_description,pitch_hand_code,pitch_hand_description,photo_link,team_info,team_name,level,parent_org,level_abb
800018,Chen Zhong-Ao Zhuang,/api/v1/people/800018,Chen,Zhuang,2000-08-25,25,Taipei,Taiwan,"6' 1""",198,TRUE,Chen Zhong-Ao,Zhuang,Zhong-Ao,Zhuang,M,TRUE,TRUE,Chen Zhong-Ao Zhuang,chen-zhong-ao-zhuang-800018,Chen Zhong-Ao Zhuang,"Zhuang, Chen Zhong-Ao","Zhuang, C",C Zhuang,Chen Zhong-Ao Zhuang,"Zhuang, Chen Zhong-Ao",3.411,1.565,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/800018/headshot/milb/current",,Midland RockHounds,Double-A,Athletics,AA
808207,Wen-Hui Pan,/api/v1/people/808207,Wen-Hui,Pan,2002-09-19,23,Hualien,Taiwan,"6' 3""",220,TRUE,Wen-Hui,Pan,NA,Pan,M,TRUE,TRUE,Wen-Hui Pan,wen-hui-pan-808207,Wen-Hui Pan,"Pan, Wen-Hui","Pan, W",W Pan,Wen-Hui Pan,"Pan, Wen-Hui ",3.49,1.601,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/808207/headshot/milb/current",,Reading Fightin Phils,Double-A,Philadelphia Phillies,AA
800213,Hung-Leng Chang,/api/v1/people/800213,Hung-Leng,Chang,2001-10-07,23,Taichung,Taiwan,"6' 3""",159,TRUE,Hung-Leng,Chang,NA,Chang,M,TRUE,TRUE,Hung-Leng Chang,hung-leng-chang-800213,Hung-Leng Chang,"Chang, Hung-Leng","Chang, H",H Chang,Hung-Leng Chang,"Chang, Hung-Leng",3.49,1.601,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/800213/headshot/milb/current",,Greensboro Grasshoppers,High-A,Pittsburgh Pirates,A+
701678,Hao-Yu  Lee,/api/v1/people/701678,Hao-Yu ,Lee,2003-02-03,22,New Taipei,Taiwan,"5' 9""",190,TRUE,Hao-Yu ,Lee,NA,"Lee, H",M,TRUE,FALSE,Hao-Yu  Lee,hao-yu-lee-701678,Hao-Yu  Lee,"Lee, Hao-Yu ","Lee, H",H Lee,Hao-Yu  Lee,"Lee, Hao-Yu  ",3.285,1.487,85,NA,NA,4,Second Base,Infielder,2B,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/701678/headshot/milb/current",,Toledo Mud Hens,Triple-A,Detroit Tigers,AAA
809223,Tzu-Chen Sha,/api/v1/people/809223,Tzu-Chen,Sha,2003-10-15,21,Taipei,Taiwan,"6' 2""",165,TRUE,Tzu-Chen,Sha,NA,Sha,M,TRUE,FALSE,Tzu-Chen Sha,tzu-chen-sha-809223,Tzu-Chen Sha,"Sha, Tzu-Chen","Sha, T",T Sha,Tzu-Chen Sha,"Sha, Tzu-Chen ",3.467,1.589,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/809223/headshot/milb/current",,Lansing Lugnuts,High-A,Athletics,A+
829473,Chung-Hsiang Huang,/api/v1/people/829473,Chung-Hsiang,Huang,2005-10-26,19,Keelung,Taiwan,"6' 0""",175,TRUE,Chung-Hsiang,Huang,NA,Huang,M,TRUE,TRUE,Chung-Hsiang Huang,chung-hsiang-huang-829473,Chung-Hsiang Huang,"Huang, Chung-Hsiang","Huang, C",C Huang,Chung-Hsiang Huang,"Huang, Chung-Hsiang ",3.371,1.535,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/829473/headshot/milb/current",,Visalia Rawhide,Single-A,Arizona Diamondbacks,A
827734,Wei-En Lin,/api/v1/people/827734,Wei-En,Lin,2005-11-04,19,Taoyuen,Taiwan,"6' 2""",179,TRUE,Wei-En,Lin,NA,"Lin, W",M,TRUE,TRUE,Wei-En Lin,wei-en-lin-827734,Wei-En Lin,"Lin, Wei-En","Lin, W",W Lin,Wei-En Lin,"Lin, Wei-En ",3.467,1.589,NA,NA,NA,1,Pitcher,Pitcher,P,L,Left,L,Left,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/827734/headshot/milb/current",,Midland RockHounds,Double-A,Athletics,AA
806836,Po-Chun Lin,/api/v1/people/806836,Po-Chun,Lin,2006-07-21,19,Taipei,Taiwan,"5' 11""",172,TRUE,Po-Chun,Lin,NA,Lin,M,TRUE,TRUE,Po-Chun Lin,po-chun-lin-806836,Po-Chun Lin,"Lin, Po-Chun","Lin, P",P Lin,Po-Chun Lin,"Lin, Po-Chun",3.319,1.513,NA,NA,NA,1,Pitcher,Pitcher,P,L,Left,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/806836/headshot/milb/current",,ACL Mariners,Rookie,Seattle Mariners,Rk
691907,Tsung-Che Cheng,/api/v1/people/691907,Tsung-Che,Cheng,2001-07-26,24,Pingtung County,Taiwan,"5' 8""",180,TRUE,Tsung-Che,Cheng,NA,"Cheng, T",M,TRUE,TRUE,Tsung-Che Cheng,tsung-che-cheng-691907,Tsung-Che Cheng,"Cheng, Tsung-Che","Cheng, T",T Cheng,Tsung-Che Cheng,"Cheng, Tsung-Che ",3.26,1.481,71,sung-chay,2025-04-09,6,Shortstop,Infielder,SS,L,Left,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/691907/headshot/milb/current",,Pittsburgh Pirates,Major League Baseball,NA,MLB
808486,Chen-Hsun Lee,/api/v1/people/808486,Chen-Hsun,Lee,2002-01-14,23,Taoyuen,Taiwan,"6' 4""",209,TRUE,Chen-Hsun,Lee,NA,Lee,M,TRUE,TRUE,Chen-Hsun Lee,chen-hsun-lee-808486,Chen-Hsun Lee,"Lee, Chen-Hsun","Lee, C",C Lee,Chen-Hsun Lee,"Lee, Chen-Hsun ",3.549,1.627,NA,NA,NA,1,Pitcher,Pitcher,P,R,Right,R,Right,"https://img.mlbstatic.com/mlb-photos/image/upload/c_fill,g_auto/w_180/v1/people/808486/headshot/milb/current",,ACL Giants,Rookie,San Francisco Giants,Rk
